"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"51","1941-02-05T13:33:01.040Z",31.25,-115,6,4.77,"ml",6,342,2.624,1.51,"ci","ci3365551","2016-01-28T01:34:47.920Z","105km S of Estacion Coahuila, B.C., MX","earthquake",99,31.61,0.046,8,"reviewed","ci","ci"
"52","1941-01-09T10:28:38.430Z",31.1593333,-115.0568333,6,5.23,"ml",5,338,2.524,1.54,"ci","ci3365529","2016-01-28T01:34:46.510Z","115km S of Estacion Coahuila, B.C., MX","earthquake",57.74,31.61,0.126,10,"reviewed","ci","ci"
"53","1940-12-07T22:17:00.000Z",31.0693333,-114.8526667,6,6.05,"ml",6,336,2.714,42.41,"ci","ci3365515","2016-01-28T01:42:35.270Z","126km S of Estacion Coahuila, B.C., MX","earthquake",99,31.61,0.106,8,"reviewed","ci","ci"
"54","1965-03-01T21:32:14.000Z",15.404,-92.623,105.2,5.6,"mw",NA,NA,NA,NA,"iscgem","iscgem858202","2015-05-13T18:52:59.000Z","Chiapas, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"55","1965-02-27T07:46:25.000Z",28.133,-112.208,10,6,"mw",NA,NA,NA,NA,"iscgem","iscgem860614","2015-05-13T18:52:59.000Z","Gulf of California","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"56","1964-12-22T20:54:32.930Z",31.6408333,-117.1711667,6,5.37,"ml",13,275,NA,0.63,"ci","ci3330750","2016-01-28T19:49:17.470Z","54km WSW of El Sauzal, B.C., MX","earthquake",5.22,31.61,0.131,9,"reviewed","ci","ci"
"57","1964-07-06T07:22:13.000Z",18.136,-100.605,93.3,7.3,"mw",NA,NA,NA,NA,"iscgem","iscgem865780","2017-04-13T21:40:36.196Z","Guerrero, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"58","1964-07-06T02:14:36.000Z",26.142,-110.307,15,6.5,"mw",NA,NA,NA,NA,"iscgem","iscgem865773","2015-05-13T18:52:58.000Z","Gulf of California","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"59","1964-07-05T19:07:59.000Z",26.128,-110.276,15,6.3,"mw",NA,NA,NA,NA,"iscgem","iscgem865760","2015-05-13T18:52:58.000Z","Gulf of California","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"60","1964-03-21T15:08:09.000Z",18.334,-103.438,35,5.9,"mw",NA,NA,NA,NA,"iscgem","iscgem869668","2015-05-13T18:52:58.000Z","Michoacan, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"61","1964-01-17T17:08:25.600Z",31,-114,6,4.5,"mh",4,334,2.824,2.53,"ci","ci10086726","2016-01-28T19:57:27.890Z","163km SE of Estacion Coahuila, B.C., MX","earthquake",99,31.61,NA,0,"reviewed","ci","ci"
"62","1963-11-23T07:50:48.000Z",29.919,-113.915,15,6.1,"mw",NA,NA,NA,NA,"iscgem","iscgem873576","2015-05-13T18:52:57.000Z","Baja California, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"63","1963-11-18T14:38:29.000Z",29.479,-113.732,15,6.4,"mw",NA,NA,NA,NA,"iscgem","iscgem873551","2015-05-13T18:52:57.000Z","Baja California, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"64","1973-05-31T05:39:18.800Z",13.941,-90.877,99,5.4,"mb",NA,NA,NA,NA,"us","usp00001zp","2015-05-13T18:53:08.000Z","Guatemala","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"65","1973-05-30T17:33:51.000Z",26.31,-110.665,33,4.8,"mb",NA,NA,NA,NA,"us","usp00001zf","2014-11-06T23:21:12.952Z","Gulf of California","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"66","1973-05-28T06:19:00.100Z",11.474,-87.266,42,4.6,"mb",NA,NA,NA,NA,"us","usp00001yk","2014-11-06T23:21:12.908Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"67","1973-05-24T19:34:13.500Z",14.71,-91.234,100,5.2,"mb",NA,NA,NA,NA,"us","usp00001x2","2015-05-13T18:53:08.000Z","Guatemala","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"68","1973-05-21T15:25:20.200Z",16.895,-99.292,96,4.8,"mb",NA,NA,NA,NA,"us","usp00001vy","2014-11-06T23:21:12.764Z","Guerrero, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"69","1973-05-18T08:12:32.600Z",16.778,-98.907,33,4.7,"mb",NA,NA,NA,NA,"us","usp00001v2","2014-11-06T23:21:12.728Z","Guerrero, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"70","1973-05-10T17:50:53.100Z",19.011,-104.76,33,5,"mb",NA,NA,NA,NA,"us","usp00001sd","2014-11-06T23:21:12.628Z","offshore Jalisco, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"71","1973-05-07T16:27:12.100Z",16.568,-116.076,33,4.8,"mb",NA,NA,NA,NA,"us","usp00001rb","2014-11-06T23:21:12.271Z","east central Pacific Ocean","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"72","1973-04-27T04:58:06.000Z",15.416,-92.696,126,4.7,"mb",NA,NA,NA,NA,"us","usp00001kn","2014-11-06T23:21:12.143Z","Chiapas, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"73","1973-04-20T09:19:23.400Z",13.482,-90.028,88,4.8,"mb",NA,NA,NA,NA,"us","usp00001fn","2014-11-06T23:21:11.974Z","offshore El Salvador","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"74","1973-04-12T11:56:11.700Z",17.229,-99.47,33,4.5,"mb",NA,NA,NA,NA,"us","usp00001ce","2014-11-06T23:21:11.248Z","Guerrero, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"75","1973-04-11T12:51:13.500Z",16.912,-100.262,33,4.9,"mb",NA,NA,NA,NA,"us","usp00001by","2014-11-06T23:21:11.219Z","offshore Guerrero, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
