"time.latitude.longitude.depth.mag.magType.nst.gap.dmin.rms.net.id.updated.place.type.horizontalError.depthError.magError.magNst.status.locationSource.magSource"
"36" "36 1985-09-19 13:17:47 18.19 -102.533 27.9 8 mw NA NA NA 1.3 us usp0002jwe 2017-09-20 16:20:29 Michoacan, Mexico earthquake NA 3.8 NA NA reviewed us hrv"
"37" "37 1981-10-25 03:22:15 18.048 -102.084 33 7.3 ms NA NA NA 1.2 us usp0001gnv 2017-04-26 17:35:07 Guerrero, Mexico earthquake NA NA NA 16 reviewed us us"
"38" "38 1981-01-30 08:52:44 51.744 176.274 33 7 ms NA NA NA NA us usp0001byq 2016-11-10 00:24:59 Rat Islands, Aleutian Islands, Alaska earthquake NA NA NA NA reviewed us us"
"39" "39 1980-11-08 10:27:34 41.117 -124.253 19 7.2 mw NA NA NA NA us usp0001aq1 2017-04-26 17:34:18 offshore Northern California earthquake NA NA NA NA reviewed us 01023"
"40" "40 1979-02-28 21:27:06 60.642 -141.593 15 7.1 ms NA NA NA NA us usp0000z2a 2017-04-26 17:32:30 Southern Alaska earthquake NA NA NA NA reviewed ag us"
"41" "41 1975-11-29 14:47:40 19.334 -155.024 5 7.1 ms NA NA NA NA us usp0000dsc 2017-04-26 17:28:56 Hawaii region, Hawaii earthquake NA NA NA NA reviewed h us"
"42" "42 1975-02-02 08:43:39 53.113 173.497 10 7.6 ms NA NA NA NA us usp00009ry 2017-04-13 21:48:33 Near Islands, Aleutian Islands, Alaska earthquake NA NA NA NA reviewed us us"
"43" "43 1973-01-30 21:01:12 18.481 -102.996 43 7.5 ms NA NA NA NA us usp00000bf 2017-04-26 17:26:33 Michoacan, Mexico earthquake NA NA NA NA reviewed us us"
"44" "44 1972-07-30 21:45:17 56.724 -135.853 25 7.6 mw NA NA NA NA iscgem iscgem772060 2017-04-13 21:46:48 Southeastern Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"45" "45 1971-05-02 06:08:27 51.396 -177.318 24.2 7 mw NA NA NA NA iscgem iscgem784013 2017-04-13 21:45:38 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"46" "46 1971-02-07 02:29:30 51.409 -176.974 28.9 7 mw NA NA NA NA iscgem iscgem786954 2015-05-13 18:53:05 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"47" "47 1970-06-24 13:09:13 51.692 -131.055 18.3 7.4 mw NA NA NA NA iscgem iscgem794827 2015-05-13 18:53:04 Haida Gwaii Region, Canada earthquake NA NA NA NA automatic iscgem iscgem"
"48" "48 1970-02-28 10:52:33 52.487 -174.915 164.1 7.1 mw NA NA NA NA iscgem iscgem799531 2015-05-13 18:53:03 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"49" "49 1965-09-04 14:32:51 58.09 -152.525 27.8 7 mw NA NA NA NA iscgem iscgem853605 2017-04-13 21:41:28 Kodiak Island region, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"50" "50 1965-07-02 20:58:40 52.99 -167.739 45 7.8 mw NA NA NA NA iscgem iscgem855112 2015-05-13 18:52:59 Fox Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"51" "51 1965-03-30 02:27:06 50.282 177.959 20 7.6 mw NA NA NA NA iscgem iscgem858982 2015-05-13 18:52:59 Rat Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"52" "52 1965-02-04 08:40:44 51.443 179.605 30 7.3 mw NA NA NA NA iscgem iscgem859264 2015-05-13 18:52:58 Rat Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"53" "53 1965-02-04 05:01:22 51.251 178.715 30.3 8.7 mw NA NA NA NA official official19650204050122_30 2017-04-13 21:40:57 Rat Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem official"
"54" "54 1964-07-06 07:22:13 18.136 -100.605 93.3 7.3 mw NA NA NA NA iscgem iscgem865780 2017-04-13 21:40:36 Guerrero, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"55" "55 1964-03-28 03:36:16 60.908 -147.339 25 9.2 mw NA NA NA NA official official19640328033616_30 2017-04-26 17:23:12 Southern Alaska earthquake NA NA NA NA automatic iscgem official"
"56" "56 1959-08-18 06:37:20 44.63 -110.891 10 7.2 mw NA NA NA NA iscgem iscgem882673 2015-05-13 18:52:54 Yellowstone National Park, Wyoming earthquake NA NA NA NA automatic iscgem iscgem"
"57" "57 1958-07-10 06:15:58 58.23 -136.712 10 7.8 mw NA NA NA NA iscgem iscgem884702 2015-05-13 18:52:52 Southeastern Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"58" "58 1958-04-07 15:30:45 65.915 -156.343 15 7.1 mw NA NA NA NA iscgem iscgem884131 2015-05-13 18:52:52 northern Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"59" "59 1957-04-10 11:30:03 55.869 -153.964 15 7 mw NA NA NA NA iscgem iscgem886362 2015-05-13 18:52:51 south of Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"60" "60 1957-03-22 14:21:15 53.778 -165.771 46.6 7.1 mw NA NA NA NA iscgem iscgem886230 2015-05-13 18:52:51 Fox Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"61" "61 1957-03-16 02:34:18 51.419 -178.87 25 7.2 mw NA NA NA NA iscgem iscgem886172 2015-05-13 18:52:51 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"62" "62 1957-03-14 14:47:50 51.196 -176.733 25 7.1 mw NA NA NA NA iscgem iscgem886155 2015-05-13 18:52:51 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"63" "63 1957-03-12 11:45:00 51.481 -177.243 20 7.1 mw NA NA NA NA iscgem iscgem886120 2015-05-13 18:52:51 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"64" "64 1957-03-11 14:55:24 51.339 -178.602 25 7 mw NA NA NA NA iscgem iscgem886103 2015-05-13 18:52:51 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"65" "65 1957-03-11 09:58:52 52.691 -169.191 35 7.1 mw NA NA NA NA iscgem iscgem886098 2015-05-13 18:52:51 Fox Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"66" "66 1957-03-09 14:22:33 51.499 -175.626 25 8.6 mw NA NA NA NA official official19570309142233_30 2016-11-07 22:59:33 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem official"
"67" "67 1954-12-16 11:07:17 39.346 -117.981 10 7.1 mw NA NA NA NA iscgem iscgem891356 2015-05-13 18:52:49 Nevada earthquake NA NA NA NA automatic iscgem iscgem"
"68" "68 1954-04-29 11:34:39 29.112 -113.024 10 7.2 mw NA NA NA NA iscgem iscgem890579 2015-05-13 18:52:48 Baja California, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"69" "69 1953-01-05 07:48:28 53.631 170.973 21.3 7 mw NA NA NA NA iscgem iscgem891410 2015-05-13 18:52:48 Near Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"70" "70 1952-07-21 11:52:15 34.9581667 -118.998 6 7.5 mw 8 146 NA 0.39 ci ci3319401 2016-04-01 20:55:42 6km WNW of Grapevine, CA earthquake 1.42 31.61 NA 0 reviewed ci ci"
"71" "71 1949-08-22 04:01:18 53.673 -133.015 10 8.2 mw NA NA NA NA iscgem iscgem896789 2015-05-13 18:52:45 Haida Gwaii, Canada earthquake NA NA NA NA automatic iscgem iscgem"
"72" "72 1948-05-14 22:31:49 54.61 -161.19 25 7.1 mw NA NA NA NA iscgem iscgem897327 2015-05-13 18:52:45 Alaska Peninsula earthquake NA NA NA NA automatic iscgem iscgem"
"73" "73 1947-10-16 02:09:51 64.131 -148.613 26 7.2 mw NA NA NA NA iscgem iscgem898078 2015-05-13 18:52:45 Central Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"74" "74 1946-11-01 11:14:28 51.752 -174.453 25 7 mw NA NA NA NA iscgem iscgem898643 2015-05-13 18:52:45 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"75" "75 1946-08-08 13:28:33 19.538 -69.657 15 7 mw NA NA NA NA iscgem iscgem898519 2015-05-13 18:52:45 Dominican Republic region earthquake NA NA NA NA automatic iscgem iscgem"
"76" "76 1946-08-04 17:51:10 19.083 -69.248 15 7.5 mw NA NA NA NA iscgem iscgem898498 2015-05-13 18:52:45 Dominican Republic region earthquake NA NA NA NA automatic iscgem iscgem"
"77" "77 1946-06-23 17:13:24 49.621 -125.261 15 7.5 mw NA NA NA NA iscgem iscgem898434 2015-05-13 18:52:45 Vancouver Island, Canada region earthquake NA NA NA NA automatic iscgem iscgem"
"78" "78 1946-04-01 12:29:01 53.492 -162.832 15 8.6 mw NA NA NA NA official official19460401122901_30 2016-11-07 23:00:58 south of Alaska earthquake NA NA NA NA automatic iscgem official"
"79" "79 1943-11-03 14:32:21 61.776 -151.051 15 7.6 mw NA NA NA NA iscgemsup iscgemsup900071 2015-07-13 17:02:22 Southern Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"80" "80 1943-07-29 03:02:17 18.905 -67.131 15 7.7 mw NA NA NA NA iscgem iscgem899944 2015-05-13 18:52:45 Puerto Rico region earthquake NA NA NA NA automatic iscgem iscgem"
"81" "81 1941-04-15 19:09:57 18.69 -102.994 30 7.6 mw NA NA NA NA iscgem iscgem900764 2015-05-13 18:52:44 Michoacan, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"82" "82 1939-09-08 12:04:47 51.035 174.97 15 7.1 mw NA NA NA NA iscgem iscgem902140 2015-05-13 18:52:44 Near Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"83" "83 1939-05-02 13:14:54 29.268 -113.54 10 7 mw NA NA NA NA iscgemsup iscgemsup901929 2015-07-13 17:02:22 Baja California, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"84" "84 1938-11-10 20:18:49 55.178 -158.181 35 8.3 mw NA NA NA NA iscgem iscgem902774 2015-05-13 18:52:44 Alaska Peninsula earthquake NA NA NA NA automatic iscgem iscgem"
"85" "85 1937-07-22 17:09:33 64.726 -146.565 10 7 mw NA NA NA NA iscgem iscgem903173 2015-05-13 18:52:44 Central Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"86" "86 1934-11-30 02:05:16 18.499 -105.276 15 7.1 mw NA NA NA NA iscgem iscgem905294 2015-05-13 18:52:43 offshore Jalisco, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"87" "87 1932-06-22 12:59:31 19.373 -104.224 25 7.7 mw NA NA NA NA iscgem iscgem906247 2015-05-13 18:52:43 Jalisco, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"88" "88 1932-06-18 10:12:11 19.419 -103.907 15 7.8 mw NA NA NA NA iscgem iscgem906234 2015-05-13 18:52:43 Colima, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"89" "89 1932-06-03 10:36:56 19.786 -103.784 15 8.1 mw NA NA NA NA iscgem iscgem906183 2015-05-13 18:52:43 Jalisco, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"90" "90 1929-12-17 10:58:42 53.559 171.972 20 7.8 mw NA NA NA NA iscgem iscgem908419 2015-05-13 18:52:42 Near Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"91" "91 1929-07-07 21:23:17 51.474 -177.771 35 7.3 mw NA NA NA NA iscgem iscgem908198 2015-05-13 18:52:42 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"92" "92 1929-07-05 14:19:09 51.473 -178.152 35 7 mw NA NA NA NA iscgem iscgem908189 2015-05-13 18:52:42 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"93" "93 1929-05-26 22:40:08 51 -130.713 15 7.3 mw NA NA NA NA iscgem iscgem908101 2015-05-13 18:52:42 Haida Gwaii Region, Canada earthquake NA NA NA NA automatic iscgem iscgem"
"94" "94 1929-03-07 01:34:42 50.852 -169.753 15 7.8 mw NA NA NA NA iscgem iscgem907930 2015-05-13 18:52:42 south of the Aleutian Islands earthquake NA NA NA NA automatic iscgem iscgem"
"95" "95 1927-10-24 15:59:55 57.776 -136.67 10 7.3 mw NA NA NA NA iscgem iscgem909582 2015-05-13 18:52:42 Southeastern Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"96" "96 1926-10-13 19:08:18 51.49 -175.288 40 7 mw NA NA NA NA iscgem iscgem910162 2015-05-13 18:52:42 Andreanof Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"97" "97 1925-11-16 11:55:01 18.496 -106.846 15 7 mw NA NA NA NA iscgem iscgem910739 2015-05-13 18:52:42 off the coast of Jalisco, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"98" "98 1925-08-19 12:07:32 55.35 167.086 15 7 mw NA NA NA NA iscgem iscgem910653 2015-05-13 18:52:42 Komandorskiye Ostrova, Russia region earthquake NA NA NA NA automatic iscgem iscgem"
"99" "99 1923-05-04 16:26:48 55.828 -156.832 25 7 mw NA NA NA NA iscgem iscgem911354 2015-05-13 18:52:41 south of Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"100" "100 1922-01-31 13:17:31 41.115 -125.54 15 7.3 mw NA NA NA NA iscgem iscgem911811 2015-05-13 18:52:41 off the coast of Northern California earthquake NA NA NA NA automatic iscgem iscgem"
"101" "101 1918-10-11 14:14:42 18.802 -67.219 15 7.1 mw NA NA NA NA iscgem iscgem913306 2015-05-13 18:52:41 Puerto Rico region earthquake NA NA NA NA automatic iscgem iscgem"
"102" "102 1917-05-31 08:47:32 54.934 -159.433 35 7.4 mw NA NA NA NA iscgem iscgem913517 2015-05-13 18:52:41 south of Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"103" "103 1916-02-06 21:51:33 50.459 179.051 15 7 mw NA NA NA NA iscgem iscgem913761 2015-05-13 18:52:41 Rat Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"104" "104 1911-06-07 11:02:50 18.517 -102.442 30 7.6 mw NA NA NA NA iscgem iscgem16958148 2015-05-13 18:52:41 Michoacan, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"105" "105 1906-08-17 00:11:10 51.853 178.18 110 8.3 mw NA NA NA NA iscgem iscgem16957912 2015-05-13 18:52:41 Rat Islands, Aleutian Islands, Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"106" "106 1906-04-18 13:12:27 38.056 -122.403 10 7.7 mw NA NA NA NA iscgem iscgem16957905 2015-05-13 18:52:41 San Pablo Bay, California earthquake NA NA NA NA automatic iscgem iscgem"
"107" "107 1900-10-09 12:28:00 60 -142 0 7.7 mw NA NA NA NA iscgem iscgem16957718 2015-05-13 18:52:41 Southeastern Alaska earthquake NA NA NA NA automatic iscgem iscgem"
"108" "108 1939-06-24 16:27:30 32.062 -117.516 6 5.25 ml 6 308 0.8292 0.44 ci ci3365037 2016-01-27 18:26:06 54km WSW of Rosarito, B.C., MX earthquake 28.99 31.61 0.172 12 reviewed ci ci"
"109" "109 1939-06-13 17:15:32 37.0705 -117.1455 6 4.77 ml 6 272 0.8677 0.15 ci ci3365025 2016-01-27 18:43:03 39km WNW of Beatty, NV earthquake 1.33 31.61 0.093 12 reviewed ci ci"
"110" "110 1939-05-03 23:58:09 31.8268333 -117.377 6 4.69 ml 4 340 1.039 0.22 ci ci3364985 2016-01-27 18:38:41 62km SW of Primo Tapia, B.C., MX earthquake 7.78 31.61 0.196 14 reviewed ci ci"
"111" "111 1939-05-02 13:14:54 29.268 -113.54 10 7 mw NA NA NA NA iscgemsup iscgemsup901929 2015-07-13 17:02:22 Baja California, Mexico earthquake NA NA NA NA automatic iscgem iscgem"
"112" "112 1939-05-01 23:57:57 32.2251667 -116.508 6 4.52 ml 4 338 0.8956 0.33 ci ci3364976 2016-01-27 18:47:27 38km E of Primo Tapia, B.C., MX earthquake 10.79 31.61 0.153 13 reviewed ci ci"
"113" "113 1939-05-01 23:53:10 32.0263333 -117.6841667 6 4.99 ml 4 327 0.9104 0.16 ci ci3364975 2016-01-27 18:30:21 70km WSW of Rosarito, B.C., MX earthquake 5.24 31.61 0.285 14 reviewed ci ci"
"114" "114 1939-02-23 09:18:47 34.9016667 -119.0118333 6 4.63 ml 6 110 0.7397 0.43 ci ci3364903 2016-01-27 18:51:43 9km WSW of Grapevine, CA earthquake 1.19 31.61 0.125 14 reviewed ci ci"
"115" "115 1939-01-07 20:21:50 35.9518333 -117.5838333 6 4.75 ml 7 218 NA 0.61 ci ci3364850 2016-01-27 18:51:39 26km NW of Searles Valley, CA earthquake 4.38 31.61 0.131 14 reviewed ci ci"
"116" "116 1938-12-03 18:41:20 37.5393333 -118.666 6 4.67 ml 6 226 NA 0.44 ci ci3364813 2016-01-27 18:43:31 27km NW of West Bishop, CA earthquake 3.16 31.61 0.189 14 reviewed ci ci"
"117" "117 1938-12-03 17:42:50 37.67 -118.6133333 6 5.45 ml 7 286 NA 0.45 ci ci3364810 2016-01-27 18:34:58 32km E of Mammoth Lakes, CA earthquake 6.96 31.61 0.178 12 reviewed ci ci"
"118" "118 1954-11-17 11:55:19 31.6265 -116.3386667 6 4.73 ml 6 339 1.088 0.47 ci ci3298610 2017-02-07 03:32:27 24km ESE of Maneadero, B.C., MX earthquake 11.62 31.61 0.084 6 reviewed ci ci"
"119" "119 1954-11-14 05:36:22 31.5608333 -116.1876667 6 5.16 ml 7 333 NA 0.28 ci ci3298602 2017-02-07 03:29:30 40km ESE of Maneadero, B.C., MX earthquake 6.69 31.61 0.101 9 reviewed ci ci"
"120" "120 1954-11-14 00:57:42 31.6841667 -116.2525 6 4.62 ml 4 345 NA 0.36 ci ci3298600 2017-02-07 03:57:37 30km E of Maneadero, B.C., MX earthquake 13.61 31.61 0.043 10 reviewed ci ci"
"121" "121 1954-11-12 20:19:58 31.5938333 -116.2301667 6 4.62 ml 6 340 1.146 0.26 ci ci3298593 2017-02-07 03:50:47 35km ESE of Maneadero, B.C., MX earthquake 6.82 31.61 0.039 8 reviewed ci ci"
"122" "122 1954-11-12 15:48:53 31.6543333 -116.2236667 6 4.56 ml 6 340 1.091 0.81 ci ci3298590 2017-02-07 03:47:57 33km ESE of Maneadero, B.C., MX earthquake 21.66 31.61 0.074 7 reviewed ci ci"
"123" "123 1954-11-12 13:16:50 31.6 -116.2 6 4.8 ml 4 343 1.149 5.5 ci ci3298585 2017-02-07 03:22:11 37km ESE of Maneadero, B.C., MX earthquake 99 31.61 0.072 9 reviewed ci ci"
"124" "124 1954-11-12 12:34:57 31.7195 -116.2298333 6 4.7 ml 5 339 1.029 0.79 ci ci3298564 2017-02-07 03:24:49 32km E of Maneadero, B.C., MX earthquake 22.96 31.61 0.081 9 reviewed ci ci"
"125" "125 1954-11-12 12:26:54 31.9343333 -116.3126667 6 6.09 ml 9 325 NA 0.31 ci ci3298562 2017-02-07 03:12:24 30km ENE of Ensenada, B.C., MX earthquake 9.83 31.61 0.223 5 reviewed ci ci"
"126" "126 1954-10-24 11:21:33 31.6001667 -116.2115 6 5.13 ml 5 340 1.145 0.31 ci ci3298532 2017-02-07 03:17:35 36km ESE of Maneadero, B.C., MX earthquake 8.54 31.61 0.202 7 reviewed ci ci"
"127" "127 1954-10-24 09:44:11 31.6075 -116.1365 6 5.92 ml 8 340 NA 0.42 ci ci3298521 2017-02-07 03:06:53 42km ESE of Maneadero, B.C., MX earthquake 7.5 31.61 0.093 6 reviewed ci ci"
